,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L,net p&l,funds
0,TECHM,2022-01-05 10:00:00,2022-01-05 09:45:00,1756.1,1749.3,2022-01-05 09:45:00,2022-01-05 10:00:00,1756.1,1749.3,1749.3,1756.1,StopLoss,lower,1749.3,-6.7999999999999545,-496.3999999999967,100000.0
1,IRCTC,2022-01-05 15:00:00,2022-01-05 09:45:00,835.0,828.0,2022-01-05 09:45:00,2022-01-05 15:00:00,835.0,840.35,840.35,835.0,DayEnd,lower,828.0,5.350000000000023,379.8500000000016,100000.0
2,JINDALSTEL,2022-01-05 10:00:00,2022-01-05 10:30:00,394.2,392.05,2022-01-05 10:00:00,2022-01-05 10:30:00,392.05,394.2,392.05,394.2,StopLoss,upper,394.2,-2.1499999999999773,-498.7999999999947,100000.0
3,IOC,2022-01-05 10:00:00,2022-01-05 14:30:00,78.17,77.8,2022-01-05 10:00:00,2022-01-05 14:30:00,77.8,78.17,77.8,78.17,StopLoss,upper,78.17,-0.37000000000000455,-499.87000000000614,100000.0
4,MPHASIS,2022-01-05 10:30:00,2022-01-05 10:00:00,3346.0,3333.1,2022-01-05 10:00:00,2022-01-05 10:30:00,3346.0,3333.1,3333.1,3346.0,StopLoss,lower,3333.1,-12.900000000000091,-490.20000000000346,100000.0
5,BHARTIARTL,2022-01-06 09:45:00,2022-01-06 10:15:00,704.7,700.3,2022-01-06 09:45:00,2022-01-06 10:15:00,700.3,704.7,700.3,704.7,StopLoss,upper,704.7,-4.400000000000091,-488.4000000000101,98394.58
6,HINDALCO,2022-01-06 09:45:00,2022-01-06 15:00:00,485.7,482.4,2022-01-06 09:45:00,2022-01-06 15:00:00,482.4,479.3,482.4,479.3,DayEnd,upper,485.7,3.099999999999966,461.8999999999949,98394.58
7,FORTIS,2022-01-06 15:00:00,2022-01-06 09:45:00,286.7,284.85,2022-01-06 09:45:00,2022-01-06 15:00:00,286.7,288.35,288.35,286.7,DayEnd,lower,284.85,1.650000000000034,437.25000000000904,98394.58
8,TATAELXSI,2022-01-06 15:00:00,2022-01-06 09:45:00,5845.05,5813.5,2022-01-06 09:45:00,2022-01-06 15:00:00,5845.05,5874.25,5874.25,5845.05,DayEnd,lower,5813.5,29.199999999999818,437.99999999999727,98394.58
9,TECHM,2022-01-06 11:30:00,2022-01-06 10:00:00,1717.35,1699.5,2022-01-06 10:00:00,2022-01-06 11:30:00,1717.35,1699.5,1699.5,1717.35,StopLoss,lower,1699.5,-17.84999999999991,-481.94999999999754,98394.58
