,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L
0,JINDALSTEL,2022-01-05 10:00:00,2022-01-05 10:30:00,394.2,392.05,2022-01-05 10:00:00,2022-01-05 10:30:00,392.05,394.2,392.05,394.2,StopLoss,upper,394.2,-2.1499999999999773
1,IOC,2022-01-05 10:00:00,2022-01-05 14:30:00,78.17,77.8,2022-01-05 10:00:00,2022-01-05 14:30:00,77.8,78.17,77.8,78.17,StopLoss,upper,78.17,-0.37000000000000455
2,MPHASIS,2022-01-05 10:30:00,2022-01-05 10:00:00,3346.0,3333.1,2022-01-05 10:00:00,2022-01-05 10:30:00,3346.0,3333.1,3333.1,3346.0,StopLoss,lower,3333.1,-12.900000000000091
3,INDIGO,2022-01-05 10:45:00,2022-01-05 10:00:00,2015.9,1999.0,2022-01-05 10:00:00,2022-01-05 10:45:00,2015.9,1999.0,1999.0,2015.9,StopLoss,lower,1999.0,-16.90000000000009
4,EICHERMOT,2022-01-05 10:15:00,2022-01-05 13:00:00,2754.0,2733.35,2022-01-05 10:15:00,2022-01-05 13:00:00,2733.35,2754.0,2733.35,2754.0,StopLoss,upper,2754.0,-20.65000000000009
5,BHARTIARTL,2022-01-06 09:45:00,2022-01-06 10:15:00,704.7,700.3,2022-01-06 09:45:00,2022-01-06 10:15:00,700.3,704.7,700.3,704.7,StopLoss,upper,704.7,-4.400000000000091
6,HINDALCO,2022-01-06 09:45:00,2022-01-06 15:00:00,485.7,482.4,2022-01-06 09:45:00,2022-01-06 15:00:00,482.4,479.3,482.4,479.3,DayEnd,upper,485.7,3.099999999999966
7,JUBLFOOD,2022-01-06 15:00:00,2022-01-06 09:45:00,707.46,699.35,2022-01-06 09:45:00,2022-01-06 15:00:00,707.46,710.7,710.7,707.46,DayEnd,lower,699.35,3.240000000000009
8,NAM-INDIA,2022-01-06 10:45:00,2022-01-06 10:00:00,348.0,346.7,2022-01-06 10:00:00,2022-01-06 10:45:00,348.0,346.7,346.7,348.0,StopLoss,lower,346.7,-1.3000000000000114
9,TECHM,2022-01-06 11:30:00,2022-01-06 10:00:00,1717.35,1699.5,2022-01-06 10:00:00,2022-01-06 11:30:00,1717.35,1699.5,1699.5,1717.35,StopLoss,lower,1699.5,-17.84999999999991
10,HINDPETRO,2022-01-07 09:45:00,2022-01-07 10:15:00,320.75,318.9,2022-01-07 09:45:00,2022-01-07 10:15:00,318.9,320.75,318.9,320.75,StopLoss,upper,320.75,-1.8500000000000227
11,LTTS,2022-01-07 09:45:00,2022-01-07 15:00:00,5873.55,5808.2,2022-01-07 09:45:00,2022-01-07 15:00:00,5808.2,5772.7,5808.2,5772.7,DayEnd,upper,5873.55,35.5
12,TITAN,2022-01-07 09:45:00,2022-01-07 15:00:00,2664.75,2622.0,2022-01-07 09:45:00,2022-01-07 15:00:00,2622.0,2567.65,2622.0,2567.65,DayEnd,upper,2664.75,54.34999999999991
13,SRF,2022-01-07 15:00:00,2022-01-07 09:45:00,2412.0,2353.0,2022-01-07 09:45:00,2022-01-07 15:00:00,2412.0,2505.0,2505.0,2412.0,DayEnd,lower,2353.0,93.0
14,PIIND,2022-01-07 15:00:00,2022-01-07 09:45:00,2945.55,2929.05,2022-01-07 09:45:00,2022-01-07 15:00:00,2945.55,2950.0,2950.0,2945.55,DayEnd,lower,2929.05,4.449999999999818
15,SBICARD,2022-01-10 12:15:00,2022-01-10 09:45:00,904.7,902.0,2022-01-10 09:45:00,2022-01-10 12:15:00,904.7,902.0,902.0,904.7,StopLoss,lower,902.0,-2.7000000000000455
16,INDHOTEL,2022-01-10 10:00:00,2022-01-10 12:00:00,190.55,189.3,2022-01-10 10:00:00,2022-01-10 12:00:00,189.3,190.55,189.3,190.55,StopLoss,upper,190.55,-1.25
17,ITC,2022-01-10 10:00:00,2022-01-10 14:45:00,223.65,222.8,2022-01-10 10:00:00,2022-01-10 14:45:00,222.8,223.65,222.8,223.65,StopLoss,upper,223.65,-0.8499999999999943
18,GUJGASLTD,2022-01-10 10:00:00,2022-01-10 15:00:00,703.7,694.55,2022-01-10 10:00:00,2022-01-10 15:00:00,694.55,694.3,694.55,694.3,DayEnd,upper,703.7,0.25
19,DLF,2022-01-10 10:00:00,2022-01-10 12:15:00,409.25,407.45,2022-01-10 10:00:00,2022-01-10 12:15:00,407.45,409.25,407.45,409.25,StopLoss,upper,409.25,-1.8000000000000114
20,INDIGO,2022-01-11 09:45:00,2022-01-11 15:00:00,2106.0,2077.0,2022-01-11 09:45:00,2022-01-11 15:00:00,2077.0,2038.8,2077.0,2038.8,DayEnd,upper,2106.0,38.200000000000045
21,SONACOMS,2022-01-11 09:45:00,2022-01-11 15:00:00,764.1,757.6,2022-01-11 09:45:00,2022-01-11 15:00:00,757.6,753.65,757.6,753.65,DayEnd,upper,764.1,3.9500000000000455
22,COFORGE,2022-01-11 09:45:00,2022-01-11 15:00:00,5873.05,5754.5,2022-01-11 09:45:00,2022-01-11 15:00:00,5754.5,5778.5,5754.5,5778.5,DayEnd,upper,5873.05,-24.0
23,IDEA,2022-01-11 12:45:00,2022-01-11 09:45:00,13.35,12.5,2022-01-11 09:45:00,2022-01-11 12:45:00,13.35,12.5,12.5,13.35,StopLoss,lower,12.5,-0.8499999999999996
24,JSWSTEEL,2022-01-11 10:15:00,2022-01-11 09:45:00,658.4,654.25,2022-01-11 09:45:00,2022-01-11 10:15:00,658.4,654.25,654.25,658.4,StopLoss,lower,654.25,-4.149999999999977
25,OBEROIRLTY,2022-01-12 09:45:00,2022-01-12 12:30:00,969.9,961.0,2022-01-12 09:45:00,2022-01-12 12:30:00,961.0,969.9,961.0,969.9,StopLoss,upper,969.9,-8.899999999999977
26,DLF,2022-01-12 09:45:00,2022-01-12 15:00:00,426.0,422.1,2022-01-12 09:45:00,2022-01-12 15:00:00,422.1,418.9,422.1,418.9,DayEnd,upper,426.0,3.2000000000000455
27,PRESTIGE,2022-01-12 09:45:00,2022-01-12 15:00:00,501.65,488.3,2022-01-12 09:45:00,2022-01-12 15:00:00,488.3,470.75,488.3,470.75,DayEnd,upper,501.65,17.55000000000001
28,PIIND,2022-01-12 15:00:00,2022-01-12 09:45:00,2874.7,2826.0,2022-01-12 09:45:00,2022-01-12 15:00:00,2874.7,2870.25,2870.25,2874.7,DayEnd,lower,2826.0,-4.449999999999818
29,GLENMARK,2022-01-12 11:15:00,2022-01-12 09:45:00,520.0,514.6,2022-01-12 09:45:00,2022-01-12 11:15:00,520.0,514.6,514.6,520.0,StopLoss,lower,514.6,-5.399999999999977
30,GSPL,2022-01-13 10:00:00,2022-01-13 09:45:00,326.0,323.0,2022-01-13 09:45:00,2022-01-13 10:00:00,326.0,323.0,323.0,326.0,StopLoss,lower,323.0,-3.0
