,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L
1,IOC,2022-01-05 10:00:00,2022-01-05 14:30:00,78.17,77.8,2022-01-05 10:00:00,2022-01-05 14:30:00,77.8,78.17,77.8,78.17,StopLoss,upper,78.17,-0.37000000000000455
3,FORTIS,2022-01-05 11:15:00,2022-01-05 10:15:00,297.05,295.3,2022-01-05 10:15:00,2022-01-05 11:15:00,297.05,295.3,295.3,297.05,StopLoss,lower,295.3,-1.75
4,UPL,2022-01-06 10:30:00,2022-01-06 11:00:00,780.9,778.3,2022-01-06 10:30:00,2022-01-06 11:00:00,778.3,780.9,778.3,780.9,StopLoss,upper,780.9,-2.6000000000000227
5,TECHM,2022-01-06 11:30:00,2022-01-06 10:00:00,1717.35,1699.5,2022-01-06 10:00:00,2022-01-06 11:30:00,1717.35,1699.5,1699.5,1717.35,StopLoss,lower,1699.5,-17.84999999999991
6,LTIM,2022-01-06 10:45:00,2022-01-06 10:00:00,7185.0,7146.65,2022-01-06 10:00:00,2022-01-06 10:45:00,7185.0,7146.65,7146.65,7185.0,StopLoss,lower,7146.65,-38.350000000000364
7,HINDPETRO,2022-01-07 09:45:00,2022-01-07 15:00:00,320.75,318.9,2022-01-07 09:45:00,2022-01-07 15:00:00,318.9,317.65,318.9,317.65,DayEnd,upper,320.75,1.25
8,POLYCAB,2022-01-07 10:00:00,2022-01-07 15:00:00,2531.25,2515.05,2022-01-07 10:00:00,2022-01-07 15:00:00,2515.05,2479.0,2515.05,2479.0,DayEnd,upper,2531.25,36.05000000000018
9,ONGC,2022-01-07 10:00:00,2022-01-07 11:30:00,155.2,154.65,2022-01-07 10:00:00,2022-01-07 11:30:00,154.65,155.2,154.65,155.2,StopLoss,upper,155.2,-0.549999999999983
10,IRCTC,2022-01-07 10:00:00,2022-01-07 15:00:00,883.0,873.45,2022-01-07 10:00:00,2022-01-07 15:00:00,873.45,859.6,873.45,859.6,DayEnd,upper,883.0,13.850000000000023
11,BANDHANBNK,2022-01-07 10:30:00,2022-01-07 13:00:00,273.25,271.65,2022-01-07 10:30:00,2022-01-07 13:00:00,271.65,273.25,271.65,273.25,StopLoss,upper,273.25,-1.6000000000000227
12,RECLTD,2022-01-10 10:15:00,2022-01-10 10:45:00,104.81,104.44,2022-01-10 10:15:00,2022-01-10 10:45:00,104.44,104.81,104.44,104.81,StopLoss,upper,104.81,-0.37000000000000455
13,ITC,2022-01-10 10:00:00,2022-01-10 14:45:00,223.65,222.8,2022-01-10 10:00:00,2022-01-10 14:45:00,222.8,223.65,222.8,223.65,StopLoss,upper,223.65,-0.8499999999999943
14,GUJGASLTD,2022-01-10 10:00:00,2022-01-10 15:00:00,703.7,694.55,2022-01-10 10:00:00,2022-01-10 15:00:00,694.55,694.3,694.55,694.3,DayEnd,upper,703.7,0.25
16,SBICARD,2022-01-10 12:15:00,2022-01-10 09:45:00,904.7,902.0,2022-01-10 09:45:00,2022-01-10 12:15:00,904.7,902.0,902.0,904.7,StopLoss,lower,902.0,-2.7000000000000455
17,SONACOMS,2022-01-11 09:45:00,2022-01-11 15:00:00,764.1,757.6,2022-01-11 09:45:00,2022-01-11 15:00:00,757.6,753.65,757.6,753.65,DayEnd,upper,764.1,3.9500000000000455
18,IDEA,2022-01-11 12:45:00,2022-01-11 09:45:00,13.35,12.5,2022-01-11 09:45:00,2022-01-11 12:45:00,13.35,12.5,12.5,13.35,StopLoss,lower,12.5,-0.8499999999999996
