,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L
3,BANKBARODA,2022-01-10 10:30:00,2022-01-10 12:00:00,90.45,90.1,2022-01-10 10:30:00,2022-01-10 12:00:00,90.1,90.45,90.1,90.45,StopLoss,upper,90.45,-0.3500000000000085
6,INDIGO,2022-01-11 09:45:00,2022-01-11 15:00:00,2106.0,2077.0,2022-01-11 09:45:00,2022-01-11 15:00:00,2077.0,2038.8,2077.0,2038.8,DayEnd,upper,2106.0,38.200000000000045
10,PIIND,2022-01-12 15:00:00,2022-01-12 09:45:00,2874.7,2826.0,2022-01-12 09:45:00,2022-01-12 15:00:00,2874.7,2870.25,2870.25,2874.7,DayEnd,lower,2826.0,-4.449999999999818
13,TATACHEM,2022-01-14 09:45:00,2022-01-14 15:00:00,1045.25,1035.3,2022-01-14 09:45:00,2022-01-14 15:00:00,1035.3,1032.4,1035.3,1032.4,DayEnd,upper,1045.25,2.8999999999998636
15,PRESTIGE,2022-01-18 09:45:00,2022-01-18 15:00:00,544.7,538.05,2022-01-18 09:45:00,2022-01-18 15:00:00,538.05,524.55,538.05,524.55,DayEnd,upper,544.7,13.5
18,IDEA,2022-01-19 15:00:00,2022-01-19 10:00:00,11.75,11.65,2022-01-19 10:00:00,2022-01-19 15:00:00,11.75,11.95,11.95,11.75,DayEnd,lower,11.65,0.1999999999999993
19,LALPATHLAB,2022-01-19 10:15:00,2022-01-19 09:45:00,3299.8,3256.0,2022-01-19 09:45:00,2022-01-19 10:15:00,3299.8,3256.0,3256.0,3299.8,StopLoss,lower,3256.0,-43.80000000000018
23,HCLTECH,2022-01-20 10:30:00,2022-01-20 09:45:00,1186.75,1182.0,2022-01-20 09:45:00,2022-01-20 10:30:00,1186.75,1182.0,1182.0,1186.75,StopLoss,lower,1182.0,-4.75
24,LALPATHLAB,2022-01-21 10:30:00,2022-01-21 10:15:00,3068.0,3050.0,2022-01-21 10:15:00,2022-01-21 10:30:00,3068.0,3050.0,3050.0,3068.0,StopLoss,lower,3050.0,-18.0
26,DIVISLAB,2022-01-24 15:00:00,2022-01-24 10:00:00,3991.4,3935.7,2022-01-24 10:00:00,2022-01-24 15:00:00,3991.4,4015.55,4015.55,3991.4,DayEnd,lower,3935.7,24.15000000000009
